distance,model,algorithm,n,mean,count,word_proportion
DotProduct,get_glove_solver,MeanIndividualDistance,6,0.72700802686113,778,1.0
DotProduct,get_glove_solver,SummedNearestNeighbour,3,9.548387096774194,31,0.5
DotProduct,get_glove_solver,SummedNearestNeighbour,4,4.340136054421769,42,0.6666666666666666
DotProduct,get_glove_solver,SummedNearestNeighbour,5,1.6659883894906935,341,0.8333333333333334
DotProduct,get_glove_solver,SummedNearestNeighbour,6,0.7043412784961313,786,1.0
DotProduct,get_postspec_solver,MeanIndividualDistance,0,2.885536823425022,23,0.0
DotProduct,get_postspec_solver,MeanIndividualDistance,1,0.5533245556287031,372,0.16666666666666666
DotProduct,get_postspec_solver,MeanIndividualDistance,2,0.30141287284144425,130,0.3333333333333333
DotProduct,get_postspec_solver,MeanIndividualDistance,3,0.19570905285190998,78,0.5
DotProduct,get_postspec_solver,MeanIndividualDistance,4,0.12396069538926681,54,0.6666666666666666
DotProduct,get_postspec_solver,MeanIndividualDistance,5,0.058163265306122446,60,0.8333333333333334
DotProduct,get_postspec_solver,MeanIndividualDistance,6,0.047471162377994675,46,1.0
DotProduct,get_postspec_solver,SummedNearestNeighbour,0,2.9842300556586268,22,0.0
DotProduct,get_postspec_solver,SummedNearestNeighbour,1,0.5598342164629347,389,0.16666666666666666
DotProduct,get_postspec_solver,SummedNearestNeighbour,2,0.3062641723356009,144,0.3333333333333333
DotProduct,get_postspec_solver,SummedNearestNeighbour,3,0.20408163265306117,40,0.5
DotProduct,get_postspec_solver,SummedNearestNeighbour,4,0.14743856726364013,49,0.6666666666666666
DotProduct,get_postspec_solver,SummedNearestNeighbour,5,0.08290816326530612,96,0.8333333333333334
DotProduct,get_postspec_solver,SummedNearestNeighbour,6,0.04081632653061224,42,1.0
DotProduct,get_wordnet_solver,MeanIndividualDistance,1,9.6,30,0.16666666666666666
DotProduct,get_wordnet_solver,MeanIndividualDistance,2,7.872340425531915,47,0.3333333333333333
DotProduct,get_wordnet_solver,MeanIndividualDistance,3,6.136363636363637,22,0.5
DotProduct,get_wordnet_solver,MeanIndividualDistance,4,5.117647058823529,17,0.6666666666666666
DotProduct,get_wordnet_solver,MeanIndividualDistance,5,1.4598639455782312,45,0.8333333333333334
DotProduct,get_wordnet_solver,MeanIndividualDistance,6,0.629746027381116,1039,1.0
DotProduct,get_wordnet_solver,SummedNearestNeighbour,1,9.414634146341463,41,0.16666666666666666
DotProduct,get_wordnet_solver,SummedNearestNeighbour,2,7.714285714285714,28,0.3333333333333333
DotProduct,get_wordnet_solver,SummedNearestNeighbour,3,6.578947368421052,19,0.5
DotProduct,get_wordnet_solver,SummedNearestNeighbour,4,6.083333333333333,12,0.6666666666666666
DotProduct,get_wordnet_solver,SummedNearestNeighbour,5,2.1801658163265305,64,0.8333333333333334
DotProduct,get_wordnet_solver,SummedNearestNeighbour,6,0.6375187140493263,1036,1.0
